crime_head,pending_prev_year,reported_during_year,reopened_for_investigation,total_for_investigation,not_investigated_157_1_b,transferred_other_state_or_agency,withdrawn_by_govt,fr_non_cognizable,fr_false,fr_other_13,fr_other_14,fr_other_15,fr_total,chargesheet_prev_year,chargesheet_during_year,chargesheet_total,disposed_by_police,quashed_investigation,stayed_investigation,pending_end_year,chargesheeting_rate_pct,pendency_pct,year
Murder,22590,28653,36,51279,1,117,1,18,751,720,2572,217,4278,9186,16809,25995,30391.0,2,125,20885,85.5,40.7,2017
Culpable Homicide not amounting to Murder,1773,3401,24,5198,0,1,1,3,80,121,300,12,516,1050,1881,2931,3448.0,5,216,1744,85.0,33.6,2017
Causing Death by Negligence - Total,48287,142794,60,191141,9,39,3,91,1015,3343,22636,5710,32795,26708,83047,109755,142598.0,5,29,48535,77.0,25.4,2017
Deaths due to Negligence relating to Road Accidents,44140,134803,57,179000,9,36,3,37,793,3045,21724,5629,31228,25671,78731,104402,135675.0,2,28,43320,77.0,24.2,2017
Hit and Run,10129,43727,44,53900,5,5,2,22,331,1162,12640,465,14620,5008,24128,29136,43766.0,0,0,10132,66.6,18.8,2017
Other Accidents,34011,91076,13,125100,4,31,1,15,462,1883,9084,5164,16608,20663,54603,75266,91909.0,2,28,33188,81.9,26.5,2017
Deaths due to Negligence relating to Rail Accidents,6,84,0,90,0,0,0,0,0,5,9,1,15,1,7,8,23.0,0,0,67,34.8,74.4,2017
Deaths due to Medical Negligence,107,198,0,305,0,0,0,0,9,19,28,1,57,33,72,105,162.0,1,0,142,64.8,46.6,2017
Deaths due to Negligence of Civic Bodies,27,103,0,130,0,0,0,0,11,22,18,0,51,11,18,29,80.0,0,0,50,36.3,38.5,2017
Deaths due to other Negligence,4007,7606,3,11616,0,3,0,54,202,252,857,79,1444,992,4219,5211,6658.0,2,1,4956,78.3,42.7,2017
Dowry Deaths,3758,7466,6,11230,0,6,0,5,198,185,322,4,714,2330,4708,7038,7758.0,4,0,3468,90.7,30.9,2017
Abetment of Suicide,3517,8129,10,11656,0,15,1,5,439,223,257,28,952,1843,4546,6389,7356.0,22,19,4277,86.9,36.7,2017
Attempt to Commit Murder,26816,51621,3,78440,1,48,3,388,1157,933,1965,61,4504,14028,32407,46435,50988.0,53,79,27396,91.1,34.9,2017
Attempt to commit Culpable Homicide,3580,7191,0,10771,0,1,0,5,55,108,357,3,528,1849,4800,6649,7178.0,15,8,3578,92.6,33.2,2017
Attempt to Commit Suicide,644,1944,1,2589,0,0,0,3,104,59,213,25,404,322,1015,1337,1741.0,2,2,846,76.8,32.7,2017
"Miscarriage, Infanticide, Foeticide and Abandonment",501,1872,0,2373,0,1,0,2,44,126,1149,1,1322,94,269,363,1686.0,0,0,687,21.5,29.0,2017
Hurt - Total,139955,494617,83,634655,3,89,27,4068,10745,14948,19157,628,49546,87746,346587,434333,483971.0,169,90,150488,89.7,23.7,2017
Simple Hurt,105166,401301,52,506519,2,74,22,3849,9762,12780,13314,209,39914,72069,282631,354700,394690.0,125,83,111682,89.9,22.0,2017
Voluntarily Causing Simple Hurt,51075,222285,14,273374,1,28,0,3119,6158,8576,6242,87,24182,32281,160649,192930,217141.0,33,18,56200,88.9,20.6,2017
Voluntarily causing hurt by Dangerous weapons or means,46474,143262,34,189770,0,21,20,684,2758,3359,4106,99,11006,34112,98627,132739,143766.0,80,40,45904,92.3,24.2,2017
Voluntarily Causing hurt/Force to deter public servant from his duty,4052,15336,3,19391,0,5,2,32,443,322,486,6,1289,2806,10048,12854,14148.0,4,11,5237,90.9,27.0,2017
Causing Hurt by act endangering life/safety of others,2205,12550,0,14755,0,0,0,9,136,266,1004,11,1426,1979,8937,10916,12342.0,5,8,2408,88.4,16.3,2017
Other Simple Hurt,1360,7868,1,9229,1,20,0,5,267,257,1476,6,2011,891,4370,5261,7293.0,3,6,1933,72.1,20.9,2017
Grievous Hurt,34789,93316,31,128136,1,15,5,219,983,2168,5843,419,9632,15677,63956,79633,89281.0,44,7,38806,89.2,30.3,2017
Voluntarily causing grievous hurt,22848,65910,7,88765,1,4,3,185,565,1751,3208,219,5928,10668,47240,57908,63841.0,19,6,24902,90.7,28.1,2017
Voluntarily causing grievous hurt by dangerous weapons or means,9998,21249,24,31271,0,6,2,31,232,286,2116,186,2851,3976,13283,17259,20116.0,25,0,11128,85.8,35.6,2017
Acid Attack,101,244,0,345,0,0,0,2,12,6,14,0,34,54,159,213,247.0,0,0,98,86.2,28.4,2017
Attempt to Acid Attack,29,65,0,94,0,0,0,0,9,1,6,0,16,12,35,47,63.0,0,0,31,74.6,33.0,2017
Voluntarily Causing Grievous hurt/Force to deter public servant from his duty,248,1687,0,1935,0,2,0,1,17,24,109,0,151,120,862,982,1135.0,0,1,800,86.5,41.3,2017
Causing Grievous Hurt by act endangering life/safety of others,1035,3529,0,4564,0,3,0,0,145,94,253,14,506,823,2096,2919,3428.0,0,0,1136,85.2,24.9,2017
Other Grievous Hurt,530,632,0,1162,0,0,0,0,3,6,137,0,146,24,281,305,451.0,0,0,711,67.6,61.2,2017
Wrongful Restraint/Confinement,3897,20176,2,24075,1,5,159,64,2871,649,1022,4,4610,1850,11801,13651,18267.0,3,4,5646,74.7,23.5,2017
Assault on Women with Intent to Outrage her Modesty - Total,30651,86001,3,116655,0,58,2,112,4748,1918,3449,163,10390,17039,57017,74056,84504.0,65,36,32084,87.6,27.5,2017
Assault on Women with Intent to Outrage her Modesty,16599,46098,2,62699,0,37,1,77,3042,1082,1660,119,5980,9104,29907,39011,45028.0,30,27,17640,86.6,28.1,2017
Sexual Harassment,7206,20948,0,28154,0,15,0,32,874,493,950,11,2360,4049,14699,18748,21123.0,21,7,7010,88.8,24.9,2017
at Work or Office Premises,193,479,0,672,0,1,0,1,25,4,23,0,53,65,309,374,428.0,0,2,244,87.4,36.3,2017
In Public Transport System,156,599,0,755,0,3,0,0,13,2,21,0,36,86,459,545,584.0,0,0,171,93.3,22.6,2017
In Shelter Homes for women and Children,178,544,0,722,0,0,0,0,23,2,42,0,67,89,401,490,557.0,0,1,165,88.0,22.9,2017
Other Places,6679,19326,0,26005,0,11,0,31,813,485,864,11,2204,3809,13530,17339,19554.0,21,4,6430,88.7,24.7,2017
Assault or use of Criminal Force on women with intent to Disrobe,3302,9720,0,13022,0,3,0,0,538,231,511,17,1297,1878,6442,8320,9620.0,4,1,3398,86.5,26.1,2017
Voyeurism,437,1090,0,1527,0,0,0,0,36,15,40,2,93,235,670,905,998.0,1,0,528,90.7,34.6,2017
Stalking,3107,8145,1,11253,0,3,1,3,258,97,288,14,660,1773,5299,7072,7735.0,9,1,3508,91.4,31.2,2017
Kidnapping and Abduction - Total,57598,95893,31,153522,23,89,92,153,12903,22257,15838,446,51597,12925,24698,37623,89332.0,186,63,63912,42.1,41.6,2017
Kidnapping and Abduction,23238,45727,11,68976,22,64,92,135,6355,13305,7593,242,27630,4353,8911,13264,40980.0,119,12,27785,32.4,40.3,2017
Missing Children Deemed as Kidnapped,8304,17718,8,26030,21,19,81,102,3581,7094,2519,61,13357,862,2013,2875,16272.0,3,0,9674,17.7,37.2,2017
Other Kidnapping & Abduction,14934,28009,3,42946,1,45,11,33,2774,6211,5074,181,14273,3491,6898,10389,24708.0,116,12,18111,42.0,42.2,2017
Kidnapping and Abduction for the Purpose of Begging,45,72,0,117,0,0,0,0,24,5,6,0,35,10,24,34,69.0,0,0,48,49.3,41.0,2017
Kidnapping and Abduction in order to Murder,854,1278,0,2132,0,1,0,0,78,147,375,0,600,383,259,642,1243.0,1,0,888,51.6,41.7,2017
Kidnapping for Ransom,545,616,1,1162,0,4,0,2,39,29,51,0,121,178,298,476,601.0,2,0,559,79.2,48.1,2017
Kidnapping and Abduction of Women to compel her for marriage,20843,30614,6,51463,1,7,0,7,2868,6072,5591,93,14631,4943,9866,14809,29448.0,43,32,21972,50.3,42.7,2017
Procuration of Minor Girls,2127,3382,2,5511,0,1,0,0,608,393,311,39,1351,490,1140,1630,2982.0,0,0,2529,54.7,45.9,2017
Importation of Girls from Foreign Country,10,5,0,15,0,0,0,0,0,0,0,0,0,3,4,7,7.0,0,0,8,100.0,53.3,2017
Other Kidnapping & Abduction,9936,14199,11,24146,0,12,0,9,2931,2306,1911,72,7229,2565,4196,6761,14002.0,21,19,10123,48.3,41.9,2017
Human Trafficking,612,1127,5,1744,0,3,0,0,17,39,68,1,125,223,540,763,891.0,0,0,853,85.6,48.9,2017
Exploitation of Trafficked Person,56,117,0,173,0,0,0,0,2,0,2,0,4,14,42,56,60.0,0,0,113,93.3,65.3,2017
Selling of Minors for Prostitution,175,81,0,256,0,1,0,0,0,36,25,0,61,35,38,73,135.0,0,0,121,54.1,47.3,2017
Buying of Minors for Prostitution,25,4,0,29,0,0,0,0,0,2,0,0,2,2,1,3,5.0,0,0,24,60.0,82.8,2017
Rape,14406,32559,19,46984,0,67,6,20,2556,746,1012,30,4364,7447,21303,28750,33181.0,32,40,13765,86.6,29.3,2017
Attempt to Commit Rape,1880,4154,1,6035,0,1,0,3,463,153,236,13,868,1041,2400,3441,4310.0,1,2,1724,79.8,28.6,2017
Unnatural Offences,644,1271,2,1917,0,2,0,0,59,25,58,0,142,314,902,1216,1360.0,2,1,555,89.4,29.0,2017
